Código da notícia 2022,Data da notícia,Região,UF,MUNICÍPIO,ID,Ação Matriz,Ação derivada,Nome do movimento,Cadastrar novo movimento,Datas da ação,ODS,Cadastrar nova pauta,Pautas da ação,Data incompleta,Bioma
FLO010722C,"jul. 1, 2022",Centro-oeste , Distrito Federal , Brasília,5300108,Judicialização , Ação Civil Publica,Articulação dos Povos Indígenas do Brasil (APIB),,undefined,16; Paz Justiça e Instituições Eficazes,,"Racismo institucional​
Racismo étnico​
Políticas indigenistas​
Direitos originários​",,NI
FLO100122C,"jan. 10, 2022",Centro-oeste , Distrito Federal , Brasília,5300108,Comunicativa,Nota técnica,Outros,Conselho Indigenista Missionário,undefined,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,"Demarcação de terras​
Políticas indigenistas​
Direito ao território​
Direitos originários​",,Cerrado
FLO180122A,"jan. 18, 2022",Centro-oeste , Distrito Federal , Brasília,5300108,Comunicativa, Nota de Repúdio,Articulação dos Povos Indígenas do Brasil (APIB),,undefined,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,"Demarcação de terras​
Políticas indigenistas​
Marco temporal​
Direito ao território​
Direitos originários​",,Cerrado
FLO180122B,"jan. 18, 2022",Centro-oeste , Distrito Federal , Brasília,5300108,Judicialização , Ação Civil Publica,Articulação dos Povos Indígenas do Brasil (APIB),,undefined,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,"Demarcação de terras​
Políticas indigenistas​
Direito ao território​
Direitos originários​",,Cerrado
FLO180122C,"jan. 18, 2022",Centro-oeste , Distrito Federal , Brasília,5300108,Judicialização , Ação Civil Publica,Articulação dos Povos Indígenas do Brasil (APIB),,undefined,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,"Demarcação de terras​
Políticas indigenistas​
Direito ao território​
Direitos originários​",,Cerrado
FLO030822C,"ago. 3, 2022",Centro-oeste , Distrito Federal , Brasília,5300108,Comunicativa, Campanha,Outros,Coordenação Nacional de Articulação de Quilombos (CONAQ); Confederação Nacional dos Trabalhadores Rurais (CONTAG); Comissão Pastoral da Terra (CPT); Conselho Indigenista Missionário (CIMI); Povo Guarani Kaiowá; Comunidade de Alegrias,Data inicial: 02/08/2022 Data final: 02/08/2022,"3; Saúde e Bem-Estar
11; Cidades e Comunidades Sustentáveis
12; Consumo e Produção Responsáveis
16; Paz Justiça e Instituições Eficazes",,"Preservação ambiental​
Demarcação de terras​
Políticas indigenistas​
Direito ao território​
Segurança Territorial​",,Cerrado
FLO280422A,"abr. 28, 2022",Centro-oeste , Distrito Federal , Brasília,5300108,Encontro , Reunião de Negociação,Articulação dos Povos Indígenas do Brasil (APIB),,Data inicial: 12/04/2022 Data final: 12/04/2022,"10; Redução das Desigualdades
11; Cidades e Comunidades Sustentáveis
15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes
17; Parcerias e Meios de Implementação",,"Demarcação de terras​
Políticas indigenistas​
Direitos originários​",,NI
FLO1200922F,"set. 12, 2022",Centro-oeste , Distrito Federal , Brasília,5300108,Interseccionalidade institucional , Participação em Audiência Publica,Povo Pataxó,,Data inicial: 12/09/2022 Data final: 12/09/2022,"11; Cidades e Comunidades Sustentáveis
15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,"Direito ao território​
Segurança Territorial​
Direitos originários​
Patrimônio territorial​",,Cerrado
FLO090322A,"mar. 9, 2022",Centro-oeste , Distrito Federal , Brasília,5300108,Deslocamento Coletivo ,Caravana,Outros,Povo Tupinambá de Olivença;  PovoPataxó; Povo Tupinambá; Povo Pataxó Hã-Hã-Hãe; Povo Kamakã; Povo Kiriri do norte e do oeste da Bahia; Povo Atikum; Povo Tumbalalá; Povo Truká,Data inicial: 07/03/2022 Data final: 14/03/2022,"13; Ação Contra Mudança Global do Clima
14; Vida na Água
15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",,"Combate ao garimpo​
Demarcação de terras​
Direito ao território​
Saúde indígena​
Segurança Territorial​
Mineração​",,Cerrado
FLO211122A,"nov. 21, 2022",Centro-oeste , Distrito Federal , Brasília,5300108,Encontro , Reunião de Articulação,NI,,Data inicial: 14/11/2022 Data final: 18/11/2022,"3; Saúde e Bem-Estar
15; Vida Terrestre",,Saúde indígena​,,Cerrado
