review_id,order_id,review_score
review_0,order_0,5
review_1,order_1,5
review_2,order_2,4
review_3,order_3,5
review_4,order_4,3
review_5,order_5,2
review_6,order_6,5
review_7,order_7,4
review_8,order_8,5
review_9,order_9,5
review_10,order_10,1
review_11,order_11,5
review_12,order_12,4
review_13,order_13,4
review_14,order_14,4
review_15,order_15,5
review_16,order_16,1
review_17,order_17,4
review_18,order_18,4
review_19,order_19,5
review_20,order_20,4
review_21,order_21,2
review_22,order_22,3
review_23,order_23,3
review_24,order_24,5
review_25,order_25,3
review_26,order_26,3
review_27,order_27,5
review_28,order_28,1
review_29,order_29,5
review_30,order_30,4
review_31,order_31,5
review_32,order_32,3
review_33,order_33,1
review_34,order_34,5
review_35,order_35,5
review_36,order_36,5
review_37,order_37,2
review_38,order_38,5
review_39,order_39,5
review_40,order_40,4
review_41,order_41,5
review_42,order_42,5
review_43,order_43,4
review_44,order_44,1
review_45,order_45,4
review_46,order_46,1
review_47,order_47,4
review_48,order_48,4
review_49,order_49,1
review_50,order_50,3
review_51,order_51,2
review_52,order_52,5
review_53,order_53,5
review_54,order_54,1
review_55,order_55,5
review_56,order_56,4
review_57,order_57,3
review_58,order_58,1
review_59,order_59,4
review_60,order_60,5
review_61,order_61,5
review_62,order_62,1
review_63,order_63,1
review_64,order_64,4
review_65,order_65,3
review_66,order_66,3
review_67,order_67,3
review_68,order_68,5
review_69,order_69,5
review_70,order_70,4
review_71,order_71,5
review_72,order_72,3
review_73,order_73,4
review_74,order_74,3
review_75,order_75,4
review_76,order_76,5
review_77,order_77,4
review_78,order_78,3
review_79,order_79,4
review_80,order_80,2
review_81,order_81,5
review_82,order_82,4
review_83,order_83,4
review_84,order_84,4
review_85,order_85,4
review_86,order_86,1
review_87,order_87,4
review_88,order_88,3
review_89,order_89,5
review_90,order_90,5
review_91,order_91,5
review_92,order_92,4
review_93,order_93,4
review_94,order_94,2
review_95,order_95,5
review_96,order_96,3
review_97,order_97,4
review_98,order_98,3
review_99,order_99,2
review_100,order_100,4
review_101,order_101,1
review_102,order_102,5
review_103,order_103,3
review_104,order_104,1
review_105,order_105,4
review_106,order_106,1
review_107,order_107,3
review_108,order_108,5
review_109,order_109,1
review_110,order_110,5
review_111,order_111,1
review_112,order_112,3
review_113,order_113,5
review_114,order_114,3
review_115,order_115,2
